id,ndex,name,type1,type2,ability1,ability2,spec_ability,hp,attack,defense,spattack,spdefense,speed,weight,height,dex1,dex2,class,pre-evolution,egg-group1,egg-group2
558,558,Crustle,Bug,Rock,Sturdy,Shell Armor,Weak Armor,70,105,125,65,75,45,440.9,55,,,Stone Home Pokemon,Dwebble,Bug,Mineral
559,559,Scraggy,Dark,Fighting,Shed Skin,Moxie,Intimidate,50,75,70,35,70,48,26,24,,,Shedding Pokemon,,Field,Dragon
560,560,Scrafty,Dark,Fighting,Shed Skin,Moxie,Intimidate,65,90,115,45,115,58,66.1,43,,,Hoodlum Pokemon,Scraggy,Field,Dragon
561,561,Sigilyph,Psychic,Flying,Wonder Skin,Magic Guard,Tinted Lens,72,58,80,103,80,97,30.9,55,,,Avianoid Pokemon,,Flying,
562,562,Yamask,Ghost,,Mummy,,,38,30,85,55,65,30,3.3,20,,,Spirit Pokemon,,Mineral,Amorphous
563,563,Cofagrigus,Ghost,,Mummy,,,58,50,145,95,105,30,168.7,67,,,Coffin Pokemon,Yamask,Mineral,Amorphous
564,564,Tirtouga,Water,Rock,Solid Rock,Sturdy,Swift Swim,54,78,103,53,45,22,36.4,28,"Based on studies of its skeletal structure, it can apparently dive to ocean depths of over half a mile.","Reputed to be the ancestor of most turtle Pokemon, it lived in warm seas approximately a hundred million years ago.",Prototurtle Pokemon,,Water 1,Water 3
565,565,Carracosta,Water,Rock,Solid Rock,Sturdy,Swift Swim,74,108,133,83,65,32,178.6,47,It constructed its sturdy shell by crunching and swallowing the hard shells or bones of its prey.,"Active both on land and in the sea, this Pokemon drags its land-based prey into the water to finish it off.",Prototurtle Pokemon,Tirtouga,Water 1,Water 3
566,566,Archen,Rock,Flying,Defeatist,,,55,112,45,74,45,70,20.9,20,It is the ancestor of all bird Pokemon. Archen itself could not actually fly but moved by hopping from treetop to treetop.,"To all appearances flightless, it was able to glide down from tall treetops to snag its prey.",First Bird Pokemon,,Flying,Water 3
567,567,Archeops,Rock,Flying,Defeatist,,,75,140,65,112,65,110,70.5,55,"Although apparently able to fly, they tended to run along the ground, averaging speeds of roughly 25 mph.","They hunted in flocks. When one Archeops had the prey cornered, another would swoop on it.",First Bird Pokemon,Archen,Flying,Water 3
568,568,Trubbish,Poison,,Stench,Sticky Hold,Aftermath,50,50,62,40,62,65,68.3,24,"Unsanitary places are what they like best. They can be spotted in Alola, often with Grimer in hot pursuit.",It gorges on trash until its stomach is full. Then it belches toxic gas. An unlucky whiff of gas will put a person in the hospital.,Trash Bag Pokemon,,Mineral,
569,569,Garbodor,Poison,,Stench,Weak Armor,Aftermath,80,95,82,60,82,75,236.6,75,"Beware the poisonous liquid it shoots from its right arm. If even a little of it gets on you, you'll experience the effects of the unidentified toxin.","For a time, their numbers increased explosively in Alola. Since the arrival of Grimer, their population has decreased dramatically.",Trash Heap Pokemon,Trubbish,Mineral,
570,570,Zorua,Dark,,Illusion,,,40,65,40,80,40,65,27.6,28,,,Tricky Fox Pokemon,,Field,
571,571,Zoroark,Dark,,Illusion,,,60,105,60,120,60,105,178.8,63,,,Illusion Fox Pokemon,Zorua,Field,
572,572,Minccino,Normal,,Cute Charm,Technician,Skill Link,55,50,40,40,40,75,12.8,16,,,Chinchilla Pokemon,,Field,
573,573,Cinccino,Normal,,Cute Charm,Technician,Skill Link,75,95,60,65,60,115,16.5,20,,,Scarf Pokemon,Minccino,Field,
574,574,Gothita,Psychic,,Frisk,Competitive,Shadow Tag,45,30,50,55,65,45,12.8,16,,,Fixation Pokemon,,Human-Like,
575,575,Gothorita,Psychic,,Frisk,Competitive,Shadow Tag,60,45,70,75,85,55,39.7,28,,,Manipulate Pokemon,Gothita,Human-Like,
576,576,Gothitelle,Psychic,,Frisk,Competitive,Shadow Tag,70,55,95,95,110,65,97,59,,,Astral Body Pokemon,Gothorita,Human-Like,
577,577,Solosis,Psychic,,Overcoat,Magic Guard,Regenerator,45,30,40,105,50,20,2.2,12,,,Cell Pokemon,,Amorphous,
578,578,Duosion,Psychic,,Overcoat,Magic Guard,Regenerator,65,40,50,125,60,30,17.6,24,,,Mitosis Pokemon,Solosis,Amorphous,
579,579,Reuniclus,Psychic,,Overcoat,Magic Guard,Regenerator,110,65,75,125,85,30,44.3,39,,,Multiplying Pokemon,Duosion,Amorphous,
580,580,Ducklett,Water,Flying,Keen Eye,Big Pecks,Hydration,62,44,50,44,50,55,12.1,20,,,Water Bird Pokemon,,Water 1,Flying
581,581,Swanna,Water,Flying,Keen Eye,Big Pecks,Hydration,75,87,63,87,63,98,53.4,51,,,White Bird Pokemon,Ducklett,Water 1,Flying
582,582,Vanillite,Ice,,Ice Body,Snow Cloak,Weak Armor,36,50,50,65,60,44,12.6,16,"Born of an icicle, this Pokemon uses its frosty breath to make ice crystals, causing snow to fall.",It feels pleasantly cool when embraced. This Pokemon is treasured by households in warm regions.,Fresh Snow Pokemon,,Mineral,
583,583,Vanillish,Ice,,Ice Body,Snow Cloak,Weak Armor,51,65,65,80,75,59,90.4,43,"Hot days cause its body to melt. It can be restored by refreezing it, but the process leaves its body slightly warped.","This Pokemon has existed since the Ice Age. It controls particles of ice, freezes its opponents, and then shatters them with a headbutt.",Icy Snow Pokemon,Vanillite,Mineral,
584,584,Vanilluxe,Ice,,Ice Body,Snow Warning,Weak Armor,71,95,85,110,95,79,126.8,51,"Each of its two heads has a brain, and when they are in agreement, it attacks its enemies by exhaling a violent blizzard.","Even if it loses one of its heads, it can live relatively problem-free. It makes snow clouds inside its body.",Snowstorm Pokemon,Vanillish,Mineral,
585,585,Deerling,Normal,Grass,Chlorophyll,Sap Sipper,Serene Grace,60,60,50,40,50,75,43,24,,,Season Pokemon,,Field,
586,586,Sawsbuck,Normal,Grass,Chlorophyll,Sap Sipper,Serene Grace,80,100,70,60,70,95,203.9,75,,,Season Pokemon,Deerling,Field,
587,587,Emolga,Electric,Flying,Static,,Motor Drive,55,75,60,75,60,103,11,16,"It glides using its cape-like membrane. Electrical energy scatters from it, shocking its friends and foes alike.",It grills berries and bug Pokemon with electric shocks and makes a meal of them. It usually nests in the holes gouged in trees by Pikipek.,Sky Squirrel Pokemon,,Field,
588,588,Karrablast,Bug,,Swarm,Shed Skin,No Guard,50,75,45,40,45,60,13,20,,,Clamping Pokemon,,Bug,
589,589,Escavalier,Bug,Steel,Swarm,Shell Armor,Overcoat,70,135,105,60,105,20,72.8,39,,,Cavalry Pokemon,Karrablast,Bug,
590,590,Foongus,Grass,Poison,Effect Spore,,Regenerator,69,55,45,55,55,15,2.2,8,,,Mushroom Pokemon,,Grass,
591,591,Amoonguss,Grass,Poison,Effect Spore,,Regenerator,114,85,70,85,80,30,23.1,24,,,Mushroom Pokemon,Foongus,Grass,
592,592,Frillish,Water,Ghost,Water Absorb,Cursed Body,Damp,55,40,50,65,85,40,72.8,47,,,Floating Pokemon,,Amorphous,
593,593,Jellicent,Water,Ghost,Water Absorb,Cursed Body,Damp,100,60,70,85,105,60,297.6,87,,,Floating Pokemon,Frillish,Amorphous,
594,594,Alomomola,Water,,Healer,Hydration,Regenerator,165,75,80,40,45,65,69.7,47,It uses its special mucus to close the wounds of injured Pokemon. The reason for this behavior remains unknown.,They float upon the open sea. Many water Pokemon gather in the area around Alomomola.,Caring Pokemon,,Water 1,Water 2
595,595,Joltik,Bug,Electric,Compound Eyes,Unnerve,Swarm,50,47,50,57,50,65,1.3,4,,,Attaching Pokemon,,Bug,
596,596,Galvantula,Bug,Electric,Compound Eyes,Unnerve,Swarm,70,77,60,97,60,108,31.5,31,,,EleSpider Pokemon,Joltik,Bug,
597,597,Ferroseed,Grass,Steel,Iron Barbs,,,44,50,91,24,86,10,41.4,24,,,Thorn Seed Pokemon,,Grass,Mineral
598,598,Ferrothorn,Grass,Steel,Iron Barbs,,Anticipation,74,94,131,54,116,20,242.5,39,,,Thorn Pod Pokemon,Ferroseed,Grass,Mineral
599,599,Klink,Steel,,Plus,Minus,Clear Body,40,55,70,45,60,30,46.3,12,,,Gear Pokemon,,Mineral,
600,600,Klang,Steel,,Plus,Minus,Clear Body,60,80,95,70,85,50,112.4,24,,,Gear Pokemon,Klink,Mineral,
601,601,Klinklang,Steel,,Plus,Minus,Clear Body,60,100,115,70,85,90,178.6,24,,,Gear Pokemon,Klang,Mineral,
602,602,Tynamo,Electric,,Levitate,,,35,55,40,45,40,60,0.7,8,,,EleFish Pokemon,,Amorphous,
603,603,Eelektrik,Electric,,Levitate,,,65,85,70,75,70,40,48.5,47,,,EleFish Pokemon,Tynamo,Amorphous,
604,604,Eelektross,Electric,,Levitate,,,85,115,80,105,80,50,177.5,83,,,EleFish Pokemon,Eelektrik,Amorphous,
605,605,Elgyem,Psychic,,Telepathy,Synchronize,Analytic,55,55,55,85,55,30,19.8,20,,,Cerebral Pokemon,,Human-Like,
606,606,Beheeyem,Psychic,,Telepathy,Synchronize,Analytic,75,75,75,125,95,40,76.1,39,,,Cerebral Pokemon,Elgyem,Human-Like,
607,607,Litwick,Ghost,Fire,Flash Fire,Flame Body,Infiltrator,50,30,55,65,55,20,6.8,12,,,Candle Pokemon,,Amorphous,
608,608,Lampent,Ghost,Fire,Flash Fire,Flame Body,Infiltrator,60,40,60,95,60,55,28.7,24,,,Lamp Pokemon,Litwick,Amorphous,
609,609,Chandelure,Ghost,Fire,Flash Fire,Flame Body,Infiltrator,60,55,90,145,90,80,75.6,39,,,Luring Pokemon,Lampent,Amorphous,
610,610,Axew,Dragon,,Rivalry,Mold Breaker,Unnerve,46,87,60,30,40,57,39.7,24,,,Tusk Pokemon,,Monster,Dragon
611,611,Fraxure,Dragon,,Rivalry,Mold Breaker,Unnerve,66,117,70,40,50,67,79.4,39,,,Axe Jaw Pokemon,Axew,Monster,Dragon
612,612,Haxorus,Dragon,,Rivalry,Mold Breaker,Unnerve,76,147,90,60,70,97,232.6,71,,,Axe Jaw Pokemon,Fraxure,Monster,Dragon
613,613,Cubchoo,Ice,,Snow Cloak,Slush Rush,Rattled,55,70,40,60,40,40,18.7,20,,,Chill Pokemon,,Field,
614,614,Beartic,Ice,,Snow Cloak,Slush Rush,Swift Swim,95,130,80,70,80,50,573.2,102,,,Freezing Pokemon,Cubchoo,Field,
615,615,Cryogonal,Ice,,Levitate,,,80,50,50,95,135,105,326.3,43,,,Crystallizing Pokemon,,Mineral,
616,616,Shelmet,Bug,,Hydration,Shell Armor,Overcoat,50,40,85,40,65,25,17,16,,,Snail Pokemon,,Bug,
617,617,Accelgor,Bug,,Hydration,Sticky Hold,Unburden,80,70,40,100,60,145,55.8,31,,,Shell Out Pokemon,Shelmet,Bug,
618,618,Stunfisk,Ground,Electric,Static,Limber,Sand Veil,109,66,84,81,99,32,24.3,28,,,Trap Pokemon,,Water 1,Amorphous
619,619,Mienfoo,Fighting,,Inner Focus,Regenerator,Reckless,45,85,50,55,50,65,44.1,35,,,Martial Arts Pokemon,,Field,Human-Like
620,620,Mienshao,Fighting,,Inner Focus,Regenerator,Reckless,65,125,60,95,60,105,78.3,55,,,Martial Arts Pokemon,Mienfoo,Field,Human-Like
621,621,Druddigon,Dragon,,Rough Skin,Sheer Force,Mold Breaker,77,120,90,60,90,48,306.4,63,,,Cave Pokemon,,Dragon,Monster
622,622,Golett,Ground,Ghost,Iron Fist,Klutz,No Guard,59,74,50,35,50,35,202.8,39,,,Automaton Pokemon,,Mineral,
623,623,Golurk,Ground,Ghost,Iron Fist,Klutz,No Guard,89,124,80,55,80,55,727.5,110,,,Automaton Pokemon,Golett,Mineral,
624,624,Pawniard,Dark,Steel,Defiant,Inner Focus,Pressure,45,85,70,40,40,60,22.5,20,,,Sharp Blade Pokemon,,Human-Like,
625,625,Bisharp,Dark,Steel,Defiant,Inner Focus,Pressure,65,125,100,60,70,70,154.3,63,,,Sword Blade Pokemon,Pawniard,Human-Like,
626,626,Bouffalant,Normal,,Reckless,Sap Sipper,Soundproof,95,110,95,40,95,55,208.6,63,,,Bash Buffalo Pokemon,,Field,
627,627,Rufflet,Normal,Flying,Keen Eye,Sheer Force,Hustle,70,83,50,37,50,60,23.1,20,They pick fights indiscriminately. They grow stronger and more powerful each time they faint or are injured.,"With its sharp claws, this Pokemon pierces its prey, and then it pecks at them. Although it also consumes berries, it's a carnivore at heart.",Eaglet Pokemon,,Flying,
628,628,Braviary,Normal,Flying,Keen Eye,Sheer Force,Defiant,100,123,75,57,75,80,90.4,59,"With its brave disposition, it fears nothing—not even death. Ancient Alolan people respected it, referring to it as “the hero of the sky.”","It's thought that people disturbed their habitats in the past, so Braviary banded together to fight back.",Valiant Pokemon,Rufflet,Flying,
629,629,Vullaby,Dark,Flying,Big Pecks,Overcoat,Weak Armor,70,55,75,45,65,60,19.8,20,"It protects its plump posterior with the bones of prey it has consumed. As it grows, it replaces the bones.","It can't fly yet and must wait until its wings have developed more. Since it's still at a playful age, it hops around friskily.",Diapered Pokemon,,Flying,
630,630,Mandibuzz,Dark,Flying,Big Pecks,Overcoat,Weak Armor,110,65,105,55,95,80,87.1,47,"They adorn themselves beautifully with bones. This is supposedly an effort to attract males, but no male Mandibuzz have ever been found.","It circles in the sky, keeping a keen eye out for Pokemon in a weakened state. Its choicest food is Cubone.",Bone Vulture Pokemon,Vullaby,Flying,
631,631,Heatmor,Fire,,Gluttony,Flash Fire,White Smoke,85,97,66,105,66,65,127.9,55,,,Anteater Pokemon,,Field,
632,632,Durant,Bug,Steel,Swarm,Hustle,Truant,58,109,112,48,48,109,72.8,12,,,Iron Ant Pokemon,,Bug,
633,633,Deino,Dark,Dragon,Hustle,,,52,65,50,45,50,38,38.1,31,,,Irate Pokemon,,Dragon,
634,634,Zweilous,Dark,Dragon,Hustle,,,72,85,70,65,70,58,110.2,55,,,Hostile Pokemon,Deino,Dragon,
635,635,Hydreigon,Dark,Dragon,Levitate,,,92,105,90,125,90,98,352.7,71,,,Brutal Pokemon,Zweilous,Dragon,
636,636,Larvesta,Bug,Fire,Flame Body,,Swarm,55,85,55,50,55,60,63.5,43,,,Torch Pokemon,,Bug,
637,637,Volcarona,Bug,Fire,Flame Body,,Swarm,85,60,65,135,105,100,101.4,63,,,Sun Pokemon,Larvesta,Bug,
638,638,Cobalion,Steel,Fighting,Justified,,,91,90,129,90,72,108,551.2,83,,,Iron Will Pokemon,,Undiscovered,
639,639,Terrakion,Rock,Fighting,Justified,,,91,129,90,72,90,108,573.2,75,,,Cavern Pokemon,,Undiscovered,
640,640,Virizion,Grass,Fighting,Justified,,,91,90,72,90,129,108,440.9,79,,,Grassland Pokemon,,Undiscovered,
641,641,Tornadus,Flying,,Prankster,,Defiant,79,115,70,125,80,111,138.9,59,,,Cyclone Pokemon,,Undiscovered,
642,642,Thundurus,Electric,Flying,Prankster,,Defiant,79,115,70,125,80,111,134.5,59,,,Bolt Strike Pokemon,,Undiscovered,
643,643,Reshiram,Dragon,Fire,Turboblaze,,,100,120,100,150,120,90,727.5,126,,,Vast White Pokemon,,Undiscovered,
644,644,Zekrom,Dragon,Electric,Teravolt,,,100,150,120,120,100,90,760.6,114,,,Deep Black Pokemon,,Undiscovered,
645,645,Landorus,Ground,Flying,Sand Force,,Sheer Force,89,125,90,115,80,101,149.9,59,,,Abundance Pokemon,,Undiscovered,
646,646,Kyurem,Dragon,Ice,Pressure,,,125,130,90,130,90,95,716.5,118,,,Boundary Pokemon,,Undiscovered,
647,647,Keldeo,Water,Fighting,Justified,,,91,72,90,129,90,108,106.9,55,,,Colt Pokemon,,Undiscovered,
648,648,Meloetta,Normal,Psychic,Serene Grace,,,100,77,77,128,128,90,14.3,24,,,Melody Pokemon,,Undiscovered,
649,649,Genesect,Bug,Steel,Download,,,71,120,95,120,95,99,181.9,59,,,Paleozoic Pokemon,,Undiscovered,
650,650,Chespin,Grass,,Overgrow,,Bulletproof,56,61,65,48,45,38,19.8,16,,,Spiny Nut Pokemon,,Field,
651,651,Quilladin,Grass,,Overgrow,,Bulletproof,61,78,95,56,58,57,63.9,28,,,Spiny Armor Pokemon,Chespin,Field,
652,652,Chesnaught,Grass,Fighting,Overgrow,,Bulletproof,88,107,122,74,75,64,198.4,63,,,Spiny Armor Pokemon,Quilladin,Field,
653,653,Fennekin,Fire,,Blaze,,Magician,40,45,40,62,60,60,20.7,16,,,Fox Pokemon,,Field,
654,654,Braixen,Fire,,Blaze,,Magician,59,59,58,90,70,73,32,39,,,Fox Pokemon,Fennekin,Field,
655,655,Delphox,Fire,Psychic,Blaze,,Magician,75,69,72,114,100,104,86,59,,,Fox Pokemon,Braixen,Field,
656,656,Froakie,Water,,Torrent,,Protean,41,56,40,62,44,71,15.4,12,,,Bubble Frog Pokemon,,Water 1,
657,657,Frogadier,Water,,Torrent,,Protean,54,63,52,83,56,97,24,24,,,Bubble Frog Pokemon,Froakie,Water 1,
658,658,Greninja,Water,Dark,Torrent,Torrent,Protean,72,95,67,103,71,122,88.2,59,,,Ninja Pokemon,Frogadier,Water 1,
659,659,Bunnelby,Normal,,Pickup,Cheek Pouch,Huge Power,38,36,38,32,36,57,11,16,,,Digging Pokemon,,Field,
660,660,Diggersby,Normal,Ground,Pickup,Cheek Pouch,Huge Power,85,56,77,50,77,78,93.5,39,,,Digging Pokemon,Bunnelby,Field,
661,661,Fletchling,Normal,Flying,Big Pecks,,Gale Wings,45,50,43,40,38,62,3.7,12,"This amiable Pokemon is easy to train. But when battle is joined, it shows its ferocious side.","When it's excited, its temperature can double, spiking hormone production in its body.",Tiny Robin Pokemon,,Flying,
662,662,Fletchinder,Fire,Flying,Flame Body,,Gale Wings,62,73,55,56,52,84,35.3,28,"From its beak, it fires embers at its prey. Once it has caught them, it grills them at high heat before feasting upon them.","It will not tolerate other Fletchinder entering its territory, which has a radius of several miles.",Ember Pokemon,Fletchling,Flying,
663,663,Talonflame,Fire,Flying,Flame Body,,Gale Wings,78,81,71,74,69,126,54,47,Its favorite foods are Wingull and Pikipek. It attacks with a powerful kick and grasps them firmly in its talons.,"It zooms directly at its prey at flight speeds of close to 310 mph, while fiery embers scatter from gaps in its feathers.",Scorching Pokemon,Fletchinder,Flying,
664,664,Scatterbug,Bug,,Shield Dust,Compound Eyes,Friend Guard,38,35,40,27,25,35,5.5,12,,,Scatterdust Pokemon,,Bug,
665,665,Spewpa,Bug,,Shed Skin,,Friend Guard,45,22,60,27,30,29,18.5,12,,,Scatterdust Pokemon,Scatterbug,Bug,
666,666,Vivillon,Bug,Flying,Shield Dust,Compound Eyes,Friend Guard,80,52,50,90,50,89,37.5,47,,,Scale Pokemon,Spewpa,Bug,
667,667,Litleo,Fire,Normal,Rivalry,Unnerve,Moxie,62,50,58,73,54,72,29.8,24,,,Lion Cub Pokemon,,Field,
668,668,Pyroar,Fire,Normal,Rivalry,Unnerve,Moxie,86,68,72,109,66,106,179.7,59,,,Royal Pokemon,Litleo,Field,
669,669,Flabebe,Fairy,,Flower Veil,,Symbiosis,44,38,39,61,79,42,0.2,4,,,Single Bloom Pokemon,,Fairy,
670,670,Floette,Fairy,,Flower Veil,,Symbiosis,54,45,47,75,98,52,2,8,,,Single Bloom Pokemon,Flabebe,Fairy,
671,671,Florges,Fairy,,Flower Veil,,Symbiosis,78,65,68,112,154,75,22,43,,,Garden Pokemon,Floette,Fairy,
672,672,Skiddo,Grass,,Sap Sipper,,Grass Pelt,66,65,48,62,57,52,68.3,35,,,Mount Pokemon,,Field,
673,673,Gogoat,Grass,,Sap Sipper,,Grass Pelt,123,100,62,97,81,68,200.6,67,,,Mount Pokemon,Skiddo,Field,
674,674,Pancham,Dark,,Iron Fist,Mold Breaker,Scrappy,67,82,62,46,48,43,17.6,24,"It grows up imitating the behavior of Pangoro, which it looks up to as a leader.","There's no point to the leaf in its mouth, aside from an effort to look cool. It's mischievous, so it's not well suited to inexperienced Trainers.",Playful Pokemon,,Field,Human-Like
675,675,Pangoro,Dark,Fighting,Iron Fist,Mold Breaker,Scrappy,95,124,78,69,71,58,299.8,83,It boasts superb physical strength. Those who wish to become Pangoro's Trainer have no choice but to converse with their fists.,"From the slight twitches of its bamboo leaf, it deduces its opponent's movements. It's eager to tussle but kindhearted toward its companions.",Daunting Pokemon,Pancham,Field,Human-Like
676,676,Furfrou,Normal,,Fur Coat,,,75,80,60,65,90,102,61.7,47,,,Poodle Pokemon,,Field,
677,677,Espurr,Psychic,,Keen Eye,Infiltrator,Own Tempo,62,48,54,63,60,68,7.7,12,,,Restraint Pokemon,,Field,
678,678,Meowstic,Psychic,,Keen Eye,Infiltrator,Prankster,74,48,76,83,81,104,18.7,24,,,Constraint Pokemon,Espurr,Field,
679,679,Honedge,Steel,Ghost,No Guard,,,45,80,100,35,37,28,4.4,31,,,Sword Pokemon,,Mineral,
680,680,Doublade,Steel,Ghost,No Guard,,,59,110,150,45,49,35,9.9,31,,,Sword Pokemon,Honedge,Mineral,
681,681,Aegislash,Steel,Ghost,Stance Change,,,60,50,150,50,150,60,116.8,67,,,Royal Sword Pokemon,Doublade,Mineral,
682,682,Spritzee,Fairy,,Healer,,Aroma Veil,78,52,60,63,65,23,1.1,8,,,Perfume Pokemon,,Fairy,
683,683,Aromatisse,Fairy,,Healer,,Aroma Veil,101,72,72,99,89,29,34.2,31,,,Fragrance Pokemon,Spritzee,Fairy,
684,684,Swirlix,Fairy,,Sweet Veil,,Unburden,62,48,66,59,57,49,7.7,16,,,Cotton Candy Pokemon,,Fairy,
685,685,Slurpuff,Fairy,,Sweet Veil,,Unburden,82,80,86,85,75,72,11,31,,,Meringue Pokemon,Swirlix,Fairy,
686,686,Inkay,Dark,Psychic,Contrary,Suction Cups,Infiltrator,53,54,53,37,46,45,7.7,16,,,Revolving Pokemon,,Water 1,Water 2
687,687,Malamar,Dark,Psychic,Contrary,Suction Cups,Infiltrator,86,92,88,68,75,73,103.6,59,,,Overturning Pokemon,Inkay,Water 1,Water 2
688,688,Binacle,Rock,Water,Tough Claws,Sniper,Pickpocket,42,52,67,39,56,50,68.3,20,,,Two-Handed Pokemon,,Water 3,
689,689,Barbaracle,Rock,Water,Tough Claws,Sniper,Pickpocket,72,105,115,54,86,68,211.6,51,,,Collective Pokemon,Binacle,Water 3,
690,690,Skrelp,Poison,Water,Poison Point,Poison Touch,Adaptability,50,60,60,60,60,30,16.1,20,,,Mock Kelp Pokemon,,Water 1,Dragon
691,691,Dragalge,Poison,Dragon,Poison Point,Poison Touch,Adaptability,65,75,90,97,123,44,179.7,71,,,Mock Kelp Pokemon,Skrelp,Water 1,Dragon
692,692,Clauncher,Water,,Mega Launcher,,,50,53,62,58,63,44,18.3,20,,,Water Gun Pokemon,,Water 1,Water 3
693,693,Clawitzer,Water,,Mega Launcher,,,71,73,88,120,89,59,77.8,51,,,Howitzer Pokemon,Clauncher,Water 1,Water 3
694,694,Helioptile,Electric,Normal,Dry Skin,Sand Veil,Solar Power,44,38,33,61,43,70,13.2,20,,,Generator Pokemon,,Monster,Dragon
695,695,Heliolisk,Electric,Normal,Dry Skin,Sand Veil,Solar Power,62,55,52,109,94,109,46.3,39,,,Generator Pokemon,Helioptile,Monster,Dragon
696,696,Tyrunt,Rock,Dragon,Strong Jaw,,Sturdy,58,89,77,45,45,48,57.3,31,,,Royal Heir Pokemon,,Monster,Dragon
697,697,Tyrantrum,Rock,Dragon,Strong Jaw,,Rock Head,82,121,119,69,59,71,595.2,98,,,Despot Pokemon,Tyrunt,Monster,Dragon
698,698,Amaura,Rock,Ice,Refrigerate,,Snow Warning,77,59,50,67,63,46,55.6,51,,,Tundra Pokemon,,Monster,
699,699,Aurorus,Rock,Ice,Refrigerate,,Snow Warning,123,77,72,99,92,58,496,106,,,Tundra Pokemon,Amaura,Monster,
700,700,Sylveon,Fairy,,Cute Charm,,Pixilate,95,65,65,110,130,60,51.8,39,"Its ribbonlike feelers give off an aura that weakens hostility in its prey, causing them to let down their guard. Then it attacks.","When this Pokemon sights its prey, it swirls its ribbonlike feelers as a distraction. A moment later, it pounces.",Intertwining Pokemon,Eevee,Field,
701,701,Hawlucha,Fighting,Flying,Limber,Unburden,Mold Breaker,78,92,75,74,63,118,47.4,31,,,Wrestling Pokemon,,Human-Like,
702,702,Dedenne,Electric,Fairy,Cheek Pouch,Pickup,Plus,67,58,57,81,67,101,4.9,8,,,Antenna Pokemon,,Field,Fairy
703,703,Carbink,Rock,Fairy,Clear Body,,Sturdy,50,50,150,50,150,50,12.6,12,"Born from the high temperatures and pressures deep underground, it defends itself by firing beams from the jewel part of its body.","Although this Pokemon is not especially rare, its glittering, jewel-draped body draws attention from people.",Jewel Pokemon,,Fairy,Mineral
704,704,Goomy,Dragon,,Sap Sipper,Hydration,Gooey,45,50,35,55,75,40,6.2,12,"The weakest of all Dragon-type Pokemon, it's unable to breathe if its skin dries out, so it sticks to shady places.","Its source of protection is its slimy, germ-laden mucous membrane. Anyone who touches it needs some thorough hand-washing.",Soft Tissue Pokemon,,Dragon,
705,705,Sliggoo,Dragon,,Sap Sipper,Hydration,Gooey,68,75,53,83,113,60,38.6,31,It has trouble drawing a line between friends and food. It will calmly try to melt and eat even those it gets along well with.,"This Pokemon's mucous can dissolve anything. Toothless, it sprays mucous on its prey. Once they're nicely dissolved, it slurps them up.",Soft Tissue Pokemon,Goomy,Dragon,
706,706,Goodra,Dragon,,Sap Sipper,Hydration,Gooey,90,100,70,110,150,80,331.8,79,"An amazingly friendly Pokemon, but if left to itself, loneliness overcomes it, and it oozes gooey tears.","It gets picked on because it's meek. But then, whoever teased it gets to feel the full force of its horns and a good swatting from its thick tail.",Dragon Pokemon,Sliggoo,Dragon,
707,707,Klefki,Steel,Fairy,Prankster,,Magician,57,80,91,80,87,75,6.6,8,This even-tempered Pokemon has a habit of collecting keys. It will sneak into people's homes to steal their keys.,"It inserts its horn into chinks in metal, absorbing metal ions. For some reason, it collects keys.",Key Ring Pokemon,,Mineral,
708,708,Phantump,Ghost,Grass,Natural Cure,Frisk,Harvest,43,70,48,50,60,38,15.4,16,These Pokemon are stumps possessed by the spirits of children who died in the forest. Their cries sound like eerie screams.,"According to legend, medicine to cure any illness can be made by plucking the green leaves on its head, brewing them, and boiling down the liquid.",Stump Pokemon,,Grass,Amorphous
709,709,Trevenant,Ghost,Grass,Natural Cure,Frisk,Harvest,85,110,76,65,82,56,156.5,59,"This Pokemon is said to devour anyone daring to ravage the forest. To the creatures dwelling in the forest, it offers great kindness.","Through its roots, it exerts control over other trees. A deadly curse falls upon anyone cutting down trees in forests where Trevenant dwell.",Elder Tree Pokemon,Phantump,Grass,Amorphous
710,710,Pumpkaboo,Ghost,Grass,Pickup,Frisk,Insomnia,49,66,70,44,55,51,11,16,,,Pumpkin Pokemon,,Amorphous,
711,711,Gourgeist,Ghost,Grass,Pickup,Frisk,Insomnia,65,90,122,58,75,84,27.6,35,,,Pumpkin Pokemon,Pumpkaboo (Average Size),Amorphous,
712,712,Bergmite,Ice,,Own Tempo,Ice Body,Sturdy,55,69,85,32,35,28,219.4,39,,,Ice Chunk Pokemon,,Monster,
713,713,Avalugg,Ice,,Own Tempo,Ice Body,Sturdy,95,117,184,44,46,28,1113.3,79,,,Iceberg Pokemon,Bergmite,Monster,
714,714,Noibat,Flying,Dragon,Frisk,Infiltrator,Telepathy,40,30,35,45,40,55,17.6,20,,,Sound Wave Pokemon,,Flying,
715,715,Noivern,Flying,Dragon,Frisk,Infiltrator,Telepathy,85,70,80,97,80,123,187.4,59,,,Sound Wave Pokemon,Noibat,Flying,
716,716,Xerneas,Fairy,,Fairy Aura,,,126,131,95,131,98,99,474,118,,,Life Pokemon,,Undiscovered,
717,717,Yveltal,Dark,Flying,Dark Aura,,,126,131,95,131,98,99,447.5,228,,,Destruction Pokemon,,Undiscovered,
